"trial_type","trial_index","time_elapsed","internal_node_id","value","rt","stimulus","key_press","responses","success","hand","test","gap","finger","cue","con","correct_response","correct","response"
"pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","","",""
"call-function","1","4","0.0-1.0","","","","","","","","","","","","","","",""
"html-keyboard-response","2","11459","0.0-2.0","","11454","<div class = 'my_window'><p><h1>Welcome!</h1><br><p><p>This experiment is adminterested by Carl Michael Galang (McMaster University), Dr. Emiel Cracco (Ghent University), Dr. Marcel Brass (Humboldt University of Berlin), & Dr. Sukhvinder Obhi (McMaster University).</p><br><p>The purpose of this study to explore basic perceptual processing mechanisms.</p><br><p>Information gathered during this study will be written up for publication in an academic journal. While there are no direct benefits to you taking part in this study (other than learning more about the research topic and receiving 1 credit on SONA), the results of this study will provide us with a better understanding of perceptual and sensory processes. To learn about this study, particularly in the terms of any associated risks or harms, how confidentiality and anonymity will be handled, withdrawal procedures, incentives that are promised, how to obtain information about the results, etc., please read the accompanying letter of information - <a href='LOI.pdf' target='_blank'>Click Here</a> (this will open a new window).</p<br><p>This study should take around 30min to complete. Please finish this study within an hour of starting it (there are built-in breaks embedded in the experiment).</p><br><p>Please note that you will be given a unique compleition code at the end of this study to input into a Google Forms (link at the end) to get your SONA credit.</p><p>If you have questions or need more information about the study itself, please contact me at: galangc@mcmaster.ca. This study has been reviewed by the McMaster University Research Ethics Board and received ethics clearance. If you have concerns or questions about your rights as a participant or about the way the study is conducted, please contact the McMaster Research Ethics Secretariat at ethicsoffice@mcmaster.ca.</p><br><p><h1>CONSENT</h1></p><p>I have read the information presented in the letter of information and I agree to participate in this study.</p><br><p>By pressing Enter, I consent to the above.<p>","13","","","","","","","","","","",""
"survey-html-form","3","24494","0.0-3.0","","13034","","","{""Age"":""gfdg"",""Gender"":""gs"",""Ethnicity"":""fdg"",""Dominant Hand"":""gdfsg"",""Browser"":""fgsdg"",""OSF"":""Yes""}","","","","","","","","","",""
"html-keyboard-response","4","27202","0.0-4.0","","2708","<div class = 'my_window'><p>This study requires hearing an audio tone. So please have headphones on and complete this study with minimal distractions.</p><p>Please hold down the G and H keys with your right hand.</p><p>If you start to hear clicking noises while you hold down the keys, please contact the researcher on Prolific.<p>Press ENTER to continue.</p></div>","13","","","","","","","","","","",""
"fullscreen","5","29275","0.0-5.0","","","","","","true","","","","","","","","",""
"call-function","6","29277","0.0-6.0","","","","","","","","","","","","","","",""
"html-keyboard-response","7","30299","0.0-7.0","","1020","<div class = 'my_window'><p>Your task in this experiment is to respond to the letters I or M, which will appear in the middle of the image (indicated by a fixation cross).</p><p>Hold down the G and H keys with your <strong><u>right hand</u></strong>. If you see the letter I, release the G key by lifting your Index finger as fast as you can.</p>If you see the letter M, release the H key by lifting your Middle finger as fast as you can.</p><p>There will be 1 or 2 hands moving in the background. Ignore them and focus on the task.</p><p>Releasing the key will cause an audio tone to play. The audio tone will play 1-1000ms after your key release.</p><p>Your job is to estimate the interval between your key release and hearing the audio tone (anywhere between 1ms-1000ms).</p><br><p>We will start with some practice trials only involving the letters and hands (no audio tone or estimations).</p><br><p>Press ENTER to begin.</p></div>","13","","","","","","","","","","",""
"fixation-image-keyboard-release-original","88","33634","0.0-8.0-1.0","","758","Stim/Stim-GB/MM_I.PNG","71","","","2","exp","400","2","0","IC","g","true",""
"html-keyboard-response","89","35155","0.0-8.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","90","36722","0.0-9.0-1.0","","546","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","700","2","1","C","h","true",""
"html-keyboard-response","91","38246","0.0-9.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","92","39690","0.0-10.0-1.0","","433","Stim/Stim-GB/MM_I.PNG","71","","","2","exp","100","2","0","IC","g","true",""
"html-keyboard-response","93","41206","0.0-10.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","94","42594","0.0-11.0-1.0","","368","Stim/Stim-GB/NM_M.PNG","72","","","1","exp","400","2","1","C","h","true",""
"html-keyboard-response","95","44126","0.0-11.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","96","45626","0.0-12.0-1.0","","490","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","100","2","1","C","h","true",""
"html-keyboard-response","97","47150","0.0-12.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","98","48791","0.0-13.0-1.0","","629","Stim/Stim-BG/II_M.PNG","72","","","2","exp","400","1","1","IC","h","true",""
"html-keyboard-response","99","50315","0.0-13.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","100","51818","0.0-14.0-1.0","","481","Stim/Stim-BG/MM_M.PNG","72","","","2","exp","400","2","1","C","h","true",""
"html-keyboard-response","101","53345","0.0-14.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","102","54921","0.0-15.0-1.0","","557","Stim/Stim-BG/II_M.PNG","72","","","2","exp","700","1","1","IC","h","true",""
"html-keyboard-response","103","56446","0.0-15.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","104","58027","0.0-16.0-1.0","","561","Stim/Stim-BG/II_I.PNG","71","","","2","exp","400","1","0","C","g","true",""
"html-keyboard-response","105","59555","0.0-16.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"fixation-image-keyboard-release-original","106","61138","0.0-17.0-1.0","","571","Stim/Stim-BG/IN_I.PNG","71","","","1","exp","400","1","0","C","g","true",""
"html-keyboard-response","107","62666","0.0-17.0-2.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
"html-keyboard-response","108","65347","0.0-18.0","","2680","<div class = 'my_window'><p>Now let's move onto practicing the interval estimation.<p><br><p>In this part, releasing the key will cause the audio tone to play. For the purposes of this practice, the audio tone will play either 1ms, 500ms, or 1000ms after your key release.</p><p>Your job is to choose either one of those options on a sliding scale (the slider starts at 500ms -- move to the left extreme for 1ms and the right extreme for 1000ms).</p><p>As a frame of reference: the duration of one eyeblink is estimated to be around 300-400ms.</p><br><p>Press ENTER to begin the practice trials.</p></div>","13","","","","","","","","","","",""
"fixation-image-keyboard-release","171","67969","0.0-19.0-1.0","","484","Stim/Stim-GB/MN_M.PNG","72","","","1","exp","1","2","1","C","h","true",""
"audio-keyboard-response","172","68247","0.0-19.0-2.0","","null","https://cors-anywhere.herokuapp.com/https://galangca.github.io/grpag/tone.mp3","null","","","","","","","","","","",""
"call-function","173","68765","0.0-19.0-3.0","","","","","","","","","","","","","","",""
"image-slider-response","174","73186","0.0-19.0-4.0","","4416","","","","","","","","","","","","","1"
"html-keyboard-response","175","74206","0.0-19.0-5.0","","null","<p> CORRECT </p>","null","","","","","","","","","","",""
